"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\App.css", "CSS", 0, 0, 33, 0, 6, 39
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\App.test.tsx", "TypeScript JSX", 8, 0, 0, 0, 2, 10
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\App.tsx", "TypeScript JSX", 13, 0, 0, 1, 3, 17
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\api\axios.ts", "TypeScript", 0, 17, 0, 0, 2, 19
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\chart\index.tsx", "TypeScript JSX", 58, 0, 0, 3, 7, 68
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\label\index.tsx", "TypeScript JSX", 33, 0, 0, 1, 8, 42
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\label\styles.ts", "TypeScript", 0, 62, 0, 7, 9, 78
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\logo\index.tsx", "TypeScript JSX", 64, 0, 0, 0, 15, 79
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\router-link\index.tsx", "TypeScript JSX", 8, 0, 0, 1, 5, 14
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\scrollbar\index.tsx", "TypeScript JSX", 34, 0, 0, 1, 10, 45
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\components\scrollbar\styles.tsx", "TypeScript JSX", 21, 0, 0, 1, 5, 27
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\constant\index.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\hooks\use-chart.tsx", "TypeScript JSX", 169, 0, 0, 22, 26, 217
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\hooks\use-pathname.tsx", "TypeScript JSX", 6, 0, 0, 1, 4, 11
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\hooks\use-reponsive.tsx", "TypeScript JSX", 19, 0, 0, 1, 10, 30
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\hooks\use-scroll-to-top.tsx", "TypeScript JSX", 9, 0, 0, 0, 5, 14
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\index.css", "CSS", 0, 0, 13, 0, 2, 15
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\index.tsx", "TypeScript JSX", 25, 0, 0, 3, 4, 32
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\layouts\dashboard\config-layout.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\layouts\dashboard\config-navigation.tsx", "TypeScript JSX", 21, 0, 0, 0, 3, 24
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\layouts\dashboard\header.tsx", "TypeScript JSX", 52, 0, 0, 0, 4, 56
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\layouts\dashboard\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 3, 26
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\layouts\dashboard\main.tsx", "TypeScript JSX", 28, 0, 0, 0, 5, 33
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\layouts\dashboard\nav.tsx", "TypeScript JSX", 146, 0, 0, 3, 19, 168
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\mock\account.ts", "TypeScript", 0, 5, 0, 1, 2, 8
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\mock\hotels.ts", "TypeScript", 0, 137, 0, 0, 0, 137
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\mock\image.ts", "TypeScript", 0, 26, 0, 0, 0, 26
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\models\index.ts", "TypeScript", 0, 83, 0, 0, 8, 91
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\pages\app.tsx", "TypeScript JSX", 13, 0, 0, 2, 4, 19
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\pages\hotels.tsx", "TypeScript JSX", 13, 0, 0, 1, 4, 18
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\pages\signin.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\pages\users.tsx", "TypeScript JSX", 13, 0, 0, 1, 4, 18
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\routes\index.tsx", "TypeScript JSX", 61, 0, 0, 13, 5, 79
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\home\app-revenue-month.tsx", "TypeScript JSX", 51, 0, 0, 1, 5, 57
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\home\app-widget-summary.tsx", "TypeScript JSX", 28, 0, 0, 1, 6, 35
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\home\homeview.tsx", "TypeScript JSX", 85, 0, 0, 21, 4, 110
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\detail-hotel.tsx", "TypeScript JSX", 237, 0, 0, 0, 15, 252
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\hotel-table-head.tsx", "TypeScript JSX", 45, 0, 0, 1, 5, 51
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\hotel-table-row.tsx", "TypeScript JSX", 106, 0, 0, 0, 11, 117
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\hotel-table-toolbar.tsx", "TypeScript JSX", 30, 0, 0, 1, 3, 34
